name;region;city;address
"Институт открытого образования

/ Прежние наименования /


до 28.05.2004 - Институт открытого образования (г. Шахты)

";Ростовская область;Шахты;"346500, Ростовская область, г. Шахты, ул. Советская, д. 279, корп. 2"
"Институт сферы обслуживания и предпринимательства (филиал) Донского государственного технического университета в г. Шахты

/ Прежние наименования /


до 2013 г. - Южно-Российский государственный университет экономики и сервиса (ЮРГУЭС)
до 1999 г. - Донская государственная академия сервиса (ДГАС)
до 1995 г. - Шахтинский технологический институт бытового обслуживания (ШТИБО)

";Ростовская область;Шахты Ростовской области;"346500, г. Шахты Ростовской области, ул. Шевченко, д 147"
"Каменский институт (филиал) Южно-Российского государственного технического университета (Новочеркасского политехнического института)
";Ростовская область;Каменск-Шахтинский;"347800, Ростовская область, г. Каменск-Шахтинский, проспект К. Маркса, д. 23"
"Красносулинский филиал Южно-Российского государственного технического университета (Новочеркасского политехнического института),
";Ростовская область;Красный Сулин;"346350, Ростовская область,г. Красный Сулин, ул. Победы, д.3"
"Новочеркасский инженерно-мелиоративный институт имени А.К. Кортунова Донского государственного аграрного университета

/ Прежние наименования /


до 2014 г. - Новочеркасская государственная мелиоративная академия
до 07.12.1995 - Новочеркасский инженерно-мелиоративный институт

";Ростовская область;Новочеркасск;"346428, Ростовская область, г. Новочеркасск, ул. Пушкинская, д. 111"
"Новошахтинский филиал Южно-Российского государственного технического университета (Новочеркасского политехнического института)
";Ростовская область;Новошахтинск;"346919, Ростовская область, г. Новошахтинск, ул. Советской Конституции, д. 52"
"Ростовская государственная консерватория (академия) имени С.В. Рахманинова

/ Прежние наименования /


до 30.03.2005 - Ростовская государственная консерватория (институт) имени С.В. Рахманинова

";Ростовская область;Ростов-на-Дону;"344002, г. Ростов-на-Дону, проспект Буденновский, дом 23"
"Ростовский военный институт ракетных войск имени Главного маршала артиллерии М.И. Неделина
";Ростовская область;Ростов-на-Дону;"344027, Ростовская область, г. Ростов-на-Дону, просп. М. Нагибина, д. 24/50"
"Ростовский государственный медицинский университет

/ Прежние наименования /


До 994 г. - Ростовский государственный медицинский институт

";Ростовская область;Ростов-на-Дону;"344022, Ростовская область, город Ростов-на-Дону, пер. Нахичеванский, дом 29"
"Ростовский государственный университет путей сообщения
";Ростовская область;Ростов-на-Дону;"344038, г. Ростов-на-Дону, пл. Ростовского Стрелкового Полка Народного Ополчения, д. 2"
"Ростовский государственный экономический университет (РИНХ)

/ Прежние наименования /


до 2000 г. - Ростовская государственная экономическая академия
до 1994 г. - Ростовский институт народного хозяйства
до 1964 г. - Ростовский финансово-экономический институт

";Ростовская область;Ростов-на-Дону;"344002, г. Ростов-на-Дону, ул. Большая Садовая, д. 69"
"Ростовский (г. Ростов-на-Дону) юридический институт (филиал) Всероссийского государственного университета юстиции
";Ростовская область;Ростов-на-Дону;"344019, Ростовская обл., г. Ростов-на-Дону, ул. 14-я линия, д. 50"
"Ростовский институт защиты предпринимателя

/ Прежние наименования /


до 2001 г. - Ростовский филиал Института защиты предпринимателя (г. Москва)

";Ростовская область;Ростов-на-Дону;"344029, г. Ростов-на-Дону, улица Сержантова, 2/104"
"РОСТОВСКИЙ ИНСТИТУТ ИНОСТРАННЫХ ЯЗЫКОВ
";Ростовская область;Ростов-на-Дону;"344019, г. Ростов-на-Дону, ул. 1-я Пролетарская, д. 95/54"
"Ростовский институт кооперации (филиал) Белгородского университета кооперации, экономики и права

/ Прежние наименования /


до 31.01.2003 - Ростовский филиал Белгородского университета потребительской кооперации

";Ростовская область;Ростов-на-Дону;"344082, г. Ростов-на-Дону, ул. Береговая, д. 19"
"Ростовский институт (филиал) Российского государственного торгово-экономического университета
";Ростовская область;Ростов-на-Дону;"344002, Ростовская область, г. Ростов-на-Дону, ул. Тургеневская, д. 49"
"Ростовский международный институт экономики и управления
";Ростовская область;Ростов-на-Дону;"344002, г. Ростов-на-Дону, Ленинский район, пер. Семашко, д. 61"
"Ростовский-на-Дону филиал Московской академии предпринимательства при Правительстве Москвы

/ Прежние наименования /


до 21.02.2008 - Ростовский-на-Дону филиал Московской академии предпринимательства при Правительстве г. Москвы

";Ростовская область;Ростов-на-Дону;"344065, Ростовская область, г. Ростов-на-Дону, пер. Беломорский, д. 98"
"Ростовский социально-экономический институт
";Ростовская область;Ростов-на-Дону;"344000, г. Ростов-на-Дону, ул. 16-я линия, 7в"
"Ростовский технологический институт сервиса и туризма (филиал) Южно-Российского государственного университета экономики и сервиса

/ Прежние наименования /


до 26.02.1999 - Филиал Донской государственной академии сервиса в г. Ростове-на Дону

";Ростовская область;Ростов-на-Дону;"344018, Ростовская область, г. Ростов-на-Дону, ул. Варфоломеева, д. 215"
"Ростовский филиал Волжского государственного университета водного транспорта
";Ростовская область;Ростов-на-Дону;"344019, Ростовская область, г. Ростов-на-Дону, ул. М. Горького, д. 268"
"Ростовский филиал Московского государственного технического университета гражданской авиации
";Ростовская область;Ростов-на-Дону;"344009, г. Ростов-на-Дону, проспект Шолохова, д. 262в"
"Ростовский филиал Российской академии правосудия (г. Ростов-на-Дону)
";Ростовская область;Ростов-на-Дону;"344038, г. Ростов-на-Дону, проспект Ленина, дом 66"
"Ростовский филиал Российской таможенной академии
";Ростовская область;Ростов-на-Дону;"344002, г. Ростов-на-Дону, пр. Буденновский, 20"
"Ростовский филиал Санкт-Петербургского государственного университета культуры и искусств

/ Прежние наименования /


до 25.12.2003 - Ростовский-на-Дону филиал Санкт-Петербургского государственного университета культуры и искусств

";Ростовская область;Ростов-на-Дону;"344019, Ростовская область, г. Ростов-на-Дону, ул. Советская, д. 32"
"Ростовский филиал Современной гуманитарной академии
";Ростовская область;Ростов-на-Дону;"344082, Ростовская область, г. Ростов-на-Дону, ул. Максима Горького, д. 30"
"Ростовский юридический институт
";Ростовская область;Ростов-на-Дону;"344015, г. Ростов-на-Дону, Маршала Еременко, д. 83"
"Северо-Кавказский филиал Московского технического университета связи и информатики
";Ростовская область;Ростов-на-Дону;"344002, Ростовская область, г. Ростов-на-Дону, ул. Серафимовича, д. 62"
"Таганрогский институт имени А.П.Чехова (филиал) Ростовского государственного экономического университета
";Ростовская область;Таганрог;"347936, г. Таганрог, ул. Инициативная, д.46, д.48, д.50, д.54-А, 347900, Ростовская обл., г. Таганрог, ул. Петровская, д.68, 347900, Ростовская обл., г. Таганрог, ул. Александровская, д.33/пер. Тургеневский, д.32"
"Таганрогский институт управления и экономики
";Ростовская область;Таганрог;"Ростовская область, 347900, г. Таганрог, ул. Петровская, 45"
"Таганрогский политехнический институт - филиал Донского государственного технического университета
";Ростовская область;Таганрог;"347904, Ростовская область, г. Таганрог, ул. Петровская, д. 109а"
"Таганрогский филиал Российского нового университета
";Ростовская область;Ангарск;"665830, Иркутская область, г. Ангарск, квартал 120, д. 26"
"Технологический институт (филиал) Донского государственного технического университета

/ Прежние наименования /


29.09.2015 г. - Азовский технологический институт (филиал) Донского государственного технического университета
до 2001 г. - Азовский политехнический колледж
До 1988 г. - Азовский политехнический техникум

";Ростовская область;Азов;"346780, Ростовская область, г. Азов, ул. Промышленная, д. 1"
"Филиал (г. Донецк, Ростовская область) ИНСТИТУТА УПРАВЛЕНИЯ, БИЗНЕСА И ПРАВА
";Ростовская область;Донецк;"346330, Ростовская область, г. Донецк, Микрорайон 3-й, д. 2А"
